ground_truth,prediction
0.94,0.9213298106198091
0.94,0.9434727323522376
1.0,0.9722502533430377
1.0,0.9188831361137506
0.94,0.9151942949300502
0.6900000000000001,0.8221649169342682
1.0,0.9440281902057416
0.8300000000000001,0.9627539437431126
1.0,0.9664201263445105
0.94,0.8180536497529193
0.89,0.9383990161398887
0.94,0.9602411438935952
0.89,0.9325369405431411
0.74,0.9668554243153955
0.89,0.9342820178588799
0.74,0.9724244426294415
0.89,0.9609395815938959
0.98,0.9410880118235103
0.84,0.916215699718994
0.79,0.9336756852837722
0.94,0.8777814939668752
0.94,0.9673377493172962
0.74,0.897916112887186
0.74,0.9350211122055851
0.84,0.9816354452060397
0.84,0.9707048457401892
0.84,0.964446736554637
0.84,0.9423367063989291
0.89,0.9625793644279342
0.94,0.896064328846979
1.0,0.9190476440870047
0.89,0.9460250531561197
1.0,0.9574877837497916
1.0,0.9588349545932529
0.94,0.8921915284118189
1.0,0.8270598908794647
1.0,0.8869314384398271
1.0,0.9069427864623718
1.0,0.928834585339608
0.8200000000000001,0.9874229972772973
0.94,0.896370067011244
1.0,0.9112410909844418
0.89,0.9663045138525692
1.0,0.9686452461589051
0.89,0.9381379328226914
1.0,0.8927165867972539
0.94,0.9511059441848649
1.0,0.9517278647996092
1.0,0.9615874359136469
0.94,0.951812641164294
0.94,0.8678654505612727
1.0,0.8658499965693842
0.89,0.887960639745973
1.0,0.8334199956207813
1.0,0.9659721769379686
1.0,0.9600374513351438
0.89,0.8873307290054923
1.0,0.9401426954026042
0.89,0.9860625480518134
1.0,0.9004122350079868
1.0,0.8778570687921661
0.94,0.8883077076921587
1.0,0.9961601279412153
1.0,0.937493525973111
0.94,0.922031467187824
1.0,0.9668031388063458
1.0,0.9016869875794392
0.94,0.8569868783782315
0.94,0.9146306068103482
0.88,0.7866883477252937
0.88,0.9603541364046246
1.0,0.9393785698643395
1.0,0.9678640037147997
0.94,0.9687996729897114
1.0,0.9797421003195612
0.94,0.8082188072082588
0.94,0.8556761532065519
0.88,0.8843344284453021
1.0,0.871422254009808
0.94,0.8973247022873959
0.88,0.9520374746924948
1.0,0.8703674145097952
0.94,0.9181356460435816
0.94,0.8603930480849125
0.88,0.8079997815641919
0.8300000000000001,0.9621995780727755
0.94,0.8967385887335251
0.74,0.8565517353406193
0.79,0.8132314958374693
1.0,0.9905067426376283
0.78,0.9608829279670207
0.73,0.8952039322621708
0.94,0.9799391865309242
0.89,0.9552928262096798
0.79,0.9776057949642681
0.79,0.9604778770622834
0.89,0.9290792230546548
0.89,0.8786960719135218
0.89,0.912307524953394
0.74,0.8732884561413053
0.94,0.8887119622771403
1.0,0.8917106874674156
0.94,0.9053263897855438
0.94,0.8554149001721324
0.89,0.9285740026609967
0.89,0.8116242756421702
0.94,0.9437244415798758
1.0,0.8531995099415183
1.0,0.8911204493212304
0.89,0.8841112356983625
1.0,0.8613772802768082
0.89,0.9164223830444888
1.0,0.8369067187484751
0.94,0.9667623576183934
0.94,0.8845376229062163
0.94,0.8361983143432677
0.8300000000000001,0.915475730066989
1.0,0.9308672273016726
0.89,0.9435906718537015
1.0,0.9685224815159937
1.0,0.8458973950693258
0.94,0.9858536395921887
1.0,0.8532172936212475
1.0,0.9481986811636195
0.94,0.9225739804533165
1.0,0.8569849453514574
1.0,0.8039916795752192
0.89,0.9249350602267523
1.0,0.93633303509537
1.0,0.9531767750172984
1.0,0.9758603263287354
0.94,0.9054560584299663
0.94,0.9661158870747627
0.94,0.957114404398463
1.0,0.9423027516763234
1.0,0.9460455500086289
0.94,0.9136939600487034
1.0,0.8288360946670603
0.94,0.9176025679459904
0.88,0.9503806616654855
1.0,0.9721701916174688
0.88,0.9375225857037459
0.88,0.8751517015842616
0.8300000000000001,0.8830627035536446
0.8300000000000001,0.9621771055352832
0.94,0.9897156846501376
